35705;slovenia-caravansites.gpx
565342;slovenia-fuel.gpx
520369;slovenia-supermarkets.gpx
2149744;spain-campsites.gpx
697535;spain-caravansites.gpx
6688030;spain-fuel.gpx
5990404;spain-supermarkets.gpx
1678;svalbard-and-jan-mayen-campsites.gpx
1519;svalbard-and-jan-mayen-fuel.gpx
2184;svalbard-and-jan-mayen-supermarkets.gpx
1536949;sweden-campsites.gpx
323256;sweden-caravansites.gpx
1264327;sweden-fuel.gpx
1413558;sweden-supermarkets.gpx
827886;switzerland-campsites.gpx
225338;switzerland-caravansites.gpx
1325499;switzerland-fuel.gpx
2050350;switzerland-supermarkets.gpx
3093113;united-kingdom-campsites.gpx
5800400;united-kingdom-caravansites.gpx
4721685;united-kingdom-fuel.gpx
9527516;united-kingdom-supermarkets.gpx
227993204;total
