310933;bosnia-and-herzegovina-supermarkets.gpx;;310299;bosnia-and-herzegovina-supermarkets.gpx;;-634
681706;croatia-fuel.gpx;;681077;croatia-fuel.gpx;;-629
51586;bosnia-and-herzegovina-campsites.gpx;;50979;bosnia-and-herzegovina-campsites.gpx;;-607
520950;slovenia-supermarkets.gpx;;520369;slovenia-supermarkets.gpx;;-581
679353;bulgaria-fuel.gpx;;678787;bulgaria-fuel.gpx;;-566
208866;luxembourg-campsites.gpx;;208356;luxembourg-campsites.gpx;;-510
291982;latvia-fuel.gpx;;291501;latvia-fuel.gpx;;-481
374215;iceland-campsites.gpx;;373747;iceland-campsites.gpx;;-468
1095772;romania-fuel.gpx;;1095317;romania-fuel.gpx;;-455
419915;portugal-campsites.gpx;;419525;portugal-campsites.gpx;;-390
65564;iceland-supermarkets.gpx;;65214;iceland-supermarkets.gpx;;-350
828223;switzerland-campsites.gpx;;827886;switzerland-campsites.gpx;;-337
15067;greece-caravansites.gpx;;14842;greece-caravansites.gpx;;-225
84194;georgia-campsites.gpx;;83984;georgia-campsites.gpx;;-210
1495432;belgium-fuel.gpx;;1495227;belgium-fuel.gpx;;-205
1302546;denmark-campsites.gpx;;1302346;denmark-campsites.gpx;;-200
343448;estonia-supermarkets.gpx;;343262;estonia-supermarkets.gpx;;-186
94846;austria-caravansites.gpx;;94663;austria-caravansites.gpx;;-183
435336;albania-fuel.gpx;;435173;albania-fuel.gpx;;-163
730194;austria-campsites.gpx;;730034;austria-campsites.gpx;;-160
565501;slovenia-fuel.gpx;;565342;slovenia-fuel.gpx;;-159
185348;albania-supermarkets.gpx;;185202;albania-supermarkets.gpx;;-146
179148;cyprus-fuel.gpx;;179014;cyprus-fuel.gpx;;-134
323371;sweden-caravansites.gpx;;323256;sweden-caravansites.gpx;;-115
1756628;hungary-supermarkets.gpx;;1756520;hungary-supermarkets.gpx;;-108
52942;greenland-supermarkets.gpx;;52845;greenland-supermarkets.gpx;;-97
287596;moldova-fuel.gpx;;287516;moldova-fuel.gpx;;-80
146350;luxembourg-fuel.gpx;;146274;luxembourg-fuel.gpx;;-76
49038;bulgaria-campsites.gpx;;48992;bulgaria-campsites.gpx;;-46
96188;luxembourg-supermarkets.gpx;;96146;luxembourg-supermarkets.gpx;;-42
127482;estonia-campsites.gpx;;127450;estonia-campsites.gpx;;-32
111090;lithuania-campsites.gpx;;111062;lithuania-campsites.gpx;;-28
6641;iceland-caravansites.gpx;;6616;iceland-caravansites.gpx;;-25
152432;ireland-campsites.gpx;;152414;ireland-campsites.gpx;;-18
591172;lithuania-fuel.gpx;;591158;lithuania-fuel.gpx;;-14
191112;belgium-caravansites.gpx;;191100;belgium-caravansites.gpx;;-12
92410;latvia-campsites.gpx;;92398;latvia-campsites.gpx;;-12
1685;city-of-the-vatican-fuel.gpx;;1675;city-of-the-vatican-fuel.gpx;;-10
4509;faroe-islands-caravansites.gpx;;4505;faroe-islands-caravansites.gpx;;-4
84499;albania-campsites.gpx;;84499;albania-campsites.gpx;;0
8445;albania-caravansites.gpx;;8445;albania-caravansites.gpx;;0
10759;andorra-campsites.gpx;;10759;andorra-campsites.gpx;;0
1566;andorra-caravansites.gpx;;1566;andorra-caravansites.gpx;;0
18092;andorra-fuel.gpx;;18092;andorra-fuel.gpx;;0
11678;andorra-supermarkets.gpx;;11678;andorra-supermarkets.gpx;;0
380672;bosnia-and-herzegovina-fuel.gpx;;380672;bosnia-and-herzegovina-fuel.gpx;;0
9301;bulgaria-caravansites.gpx;;9301;bulgaria-caravansites.gpx;;0
1214;city-of-the-vatican-supermarkets.gpx;;1214;city-of-the-vatican-supermarkets.gpx;;0
3726;cyprus-caravansites.gpx;;3726;cyprus-caravansites.gpx;;0
7052;estonia-caravansites.gpx;;7052;estonia-caravansites.gpx;;0
8830;faroe-islands-campsites.gpx;;8830;faroe-islands-campsites.gpx;;0
11069;faroe-islands-fuel.gpx;;11069;faroe-islands-fuel.gpx;;0
13962;faroe-islands-supermarkets.gpx;;13962;faroe-islands-supermarkets.gpx;;0
271889;finland-caravansites.gpx;;271889;finland-caravansites.gpx;;0
10414;georgia-caravansites.gpx;;10414;georgia-caravansites.gpx;;0
4503;gibraltar-fuel.gpx;;4503;gibraltar-fuel.gpx;;0
2793;gibraltar-supermarkets.gpx;;2793;gibraltar-supermarkets.gpx;;0
5572;greenland-campsites.gpx;;5572;greenland-campsites.gpx;;0
15868;greenland-fuel.gpx;;15868;greenland-fuel.gpx;;0
10993;guernsey-campsites.gpx;;10993;guernsey-campsites.gpx;;0
13973;guernsey-fuel.gpx;;13973;guernsey-fuel.gpx;;0
9026;guernsey-supermarkets.gpx;;9026;guernsey-supermarkets.gpx;;0
9396;hungary-caravansites.gpx;;9396;hungary-caravansites.gpx;;0
70989;iceland-fuel.gpx;;70989;iceland-fuel.gpx;;0
14282;isle-of-man-campsites.gpx;;14282;isle-of-man-campsites.gpx;;0
2386;isle-of-man-caravansites.gpx;;2386;isle-of-man-caravansites.gpx;;0
12441;isle-of-man-fuel.gpx;;12441;isle-of-man-fuel.gpx;;0
17408;isle-of-man-supermarkets.gpx;;17408;isle-of-man-supermarkets.gpx;;0
8400;jersey-campsites.gpx;;8400;jersey-campsites.gpx;;0
14434;jersey-fuel.gpx;;14434;jersey-fuel.gpx;;0
16424;jersey-supermarkets.gpx;;16424;jersey-supermarkets.gpx;;0
9049;latvia-caravansites.gpx;;9049;latvia-caravansites.gpx;;0
3161;liechtenstein-campsites.gpx;;3161;liechtenstein-campsites.gpx;;0
1069;liechtenstein-caravansites.gpx;;1069;liechtenstein-caravansites.gpx;;0
8679;liechtenstein-fuel.gpx;;8679;liechtenstein-fuel.gpx;;0
7243;liechtenstein-supermarkets.gpx;;7243;liechtenstein-supermarkets.gpx;;0
9304;lithuania-caravansites.gpx;;9304;lithuania-caravansites.gpx;;0
6468;malta-campsites.gpx;;6468;malta-campsites.gpx;;0
1672;malta-caravansites.gpx;;1672;malta-caravansites.gpx;;0
20962;malta-fuel.gpx;;20962;malta-fuel.gpx;;0
38739;malta-supermarkets.gpx;;38739;malta-supermarkets.gpx;;0
6622;moldova-caravansites.gpx;;6622;moldova-caravansites.gpx;;0
1808;monaco-fuel.gpx;;1808;monaco-fuel.gpx;;0
4494;monaco-supermarkets.gpx;;4494;monaco-supermarkets.gpx;;0
38889;montenegro-campsites.gpx;;38889;montenegro-campsites.gpx;;0
