36773;slovenia-caravansites.gpx
565501;slovenia-fuel.gpx
520950;slovenia-supermarkets.gpx
2154282;spain-campsites.gpx
701940;spain-caravansites.gpx
6692546;spain-fuel.gpx
6007969;spain-supermarkets.gpx
1678;svalbard-and-jan-mayen-campsites.gpx
1519;svalbard-and-jan-mayen-fuel.gpx
2184;svalbard-and-jan-mayen-supermarkets.gpx
1537923;sweden-campsites.gpx
323371;sweden-caravansites.gpx
1265971;sweden-fuel.gpx
1415464;sweden-supermarkets.gpx
828223;switzerland-campsites.gpx
234969;switzerland-caravansites.gpx
1327212;switzerland-fuel.gpx
2058384;switzerland-supermarkets.gpx
3101661;united-kingdom-campsites.gpx
5812518;united-kingdom-caravansites.gpx
4734826;united-kingdom-fuel.gpx
9566399;united-kingdom-supermarkets.gpx
293093557;total
